# z      distance_modulus     err
    0.519610    42.360615     0.109000
    0.522780    42.418929     0.141650
    0.528510    42.341137     0.143150
    0.532780    42.510795     0.113850
    0.533780    42.340748     0.166500
    0.534330    42.400142     0.128900
    0.535320    42.465998     0.110850
    0.535780    42.416494     0.126600
    0.545390    42.563622     0.146200
    0.548310    42.291259     0.143800
    0.550140    42.741858     0.143550
    0.550310    42.445275     0.124900
    0.552600    42.795792     0.134250
    0.553810    42.901822     0.124200
    0.557750    42.503770     0.134900
    0.558750    42.724843     0.151650
    0.558750    42.897875     0.133500
    0.562760    42.773638     0.117550
    0.564750    42.618299     0.135950
    0.575840    42.560372     0.138450
